Country Name,1990,2000,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ethiopia,47887865,66224804,90139927,92726971,95385785,98094253,100835458,103603501,106400024,109224559,112078730
United States,249623000,282162411,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523
