Country_Name,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ethiopia,"90,139,927","92,726,971","95,385,785","98,094,253","100,835,458","103,603,501","106,400,024","109,224,559","112,078,730"
United States,"311,556,874","313,830,990","315,993,715","318,301,008","320,635,163","322,941,311","324,985,539","326,687,501","328,239,523"
